image,n_cells,mean_width_um,std_width_um,mean_length_um,std_length_um,time_s
01/t000.tif,13,27.111538461538466,8.762476672488061,28.48428747562777,8.63581122921774,5.964332499999728
01/t001.tif,13,26.819230769230767,9.469184637143142,28.49041487738807,9.240606544209015,4.8902084999999715
01/t002.tif,12,28.64250000000001,11.221302083739902,29.89968500845622,10.7670825524484,5.509579600000507
01/t003.tif,12,28.37333333333334,11.668968430946423,30.141720357683848,11.504131598072224,5.844304100000045
01/t004.tif,14,24.564285714285713,10.062807923075114,27.38668913765713,8.470075027301572,4.539380000000165
01/t005.tif,14,27.71285714285714,10.832142645188638,28.32146189627647,10.009988979753818,5.210599899999579
01/t006.tif,12,30.083333333333332,9.246272303753093,31.637723363771524,8.521504252873905,5.830603700000211
01/t007.tif,12,27.977500000000003,7.127647992787727,30.947664444189055,6.049028610794932,5.070859599999494
01/t008.tif,12,28.579166666666666,7.926960277585869,31.703477397332296,7.094546741273978,5.127119400000083
01/t009.tif,13,24.509999999999998,8.725531502435826,26.88062304444594,7.729267911428406,4.701651899999888
01/t010.tif,12,29.08583333333333,9.455143341380955,29.975748876928126,7.818078047114135,5.3850210999999035
01/t011.tif,15,25.029333333333337,10.613178779683484,27.200056063498554,9.760366373925685,5.205441000000064
01/t012.tif,13,28.13461538461538,10.36979477085943,30.109848296454654,9.194393892472378,5.468448300000091
01/t013.tif,13,27.25769230769231,9.693915749793918,29.62467987152593,8.334259113246356,5.409646600000087
01/t014.tif,13,28.119999999999997,10.169882005215202,29.947469604370404,8.339392433212959,5.516659699999764
01/t015.tif,12,26.726666666666663,6.873185490577044,29.121037458707914,5.061867580865321,4.677375000000211
01/t016.tif,13,26.76076923076923,9.43481095159345,28.524133141887276,6.537638133785673,4.9324349000007714
01/t017.tif,13,27.00923076923077,7.6339051403791816,28.301396754289506,6.444336030926387,4.828465099999448
01/t018.tif,14,26.599999999999998,9.6536800476056,28.118553365056858,8.948204626791812,5.0188622000005125
01/t019.tif,13,28.763076923076923,9.89476830166274,29.731305682888983,8.431503965037306,5.529279399999723
01/t020.tif,13,28.207692307692312,6.989923883522332,30.21336470150932,6.347355627881056,5.727912700000161
01/t021.tif,13,27.374615384615385,6.7373964004213285,28.330883283095872,5.920766687599841,5.4855453000000125
01/t022.tif,14,25.867142857142856,7.544572607124661,27.412041891910945,7.4044715606072975,5.31154510000033
01/t023.tif,15,25.054666666666662,8.195797587498005,27.237431786584626,8.921164680156467,5.891432299999906
01/t024.tif,14,24.808571428571433,8.159869773793865,27.253318777692066,9.165855614364318,5.595546300000024
01/t025.tif,15,24.839333333333336,7.704616859544735,26.64466933345316,7.117268513507218,5.753033599999981
01/t026.tif,14,27.848571428571432,6.5981067880728625,28.67087722791288,5.680333029322629,5.994956300000013
01/t027.tif,15,27.309333333333335,7.45180272212864,28.53198476151774,7.3085492824874,6.710879499999464
