image,n_cells,mean_width_um,std_width_um,mean_length_um,std_length_um,mean_area_um2,time_s
01/t000.tif,13,27.111538461538466,8.762476672488061,28.48428747562777,8.63581122921774,377.6698692307692,5.195488400000016
01/t001.tif,13,26.819230769230767,9.469184637143142,28.49041487738807,9.240606544209015,362.1607538461539,4.708088099999998
01/t002.tif,12,28.64250000000001,11.221302083739902,29.89968500845622,10.7670825524484,394.35038333333335,5.252606399999991
01/t003.tif,12,28.37333333333334,11.668968430946423,30.141720357683848,11.504131598072224,418.6306416666667,5.935564400000004
01/t004.tif,14,24.564285714285713,10.062807923075114,27.38668913765713,8.470075027301572,342.72566428571434,4.487008199999991
01/t005.tif,14,27.71285714285714,10.832142645188638,28.32146189627647,10.009988979753818,366.35311428571424,5.123335699999984
01/t006.tif,12,30.083333333333332,9.246272303753093,31.637723363771524,8.521504252873905,419.68055,5.2887786000000006
01/t007.tif,12,27.977500000000003,7.127647992787727,30.947664444189055,6.049028610794932,407.1929583333333,4.330393700000002
01/t008.tif,12,28.579166666666666,7.926960277585869,31.703477397332296,7.094546741273978,403.9018416666666,4.533432800000014
01/t009.tif,13,24.509999999999998,8.725531502435826,26.88062304444594,7.729267911428406,344.1662923076923,3.8909421999999836
01/t010.tif,12,29.08583333333333,9.455143341380955,29.975748876928126,7.818078047114135,404.9216666666666,4.416761500000007
01/t011.tif,15,25.029333333333337,10.613178779683484,27.200056063498554,9.760366373925685,330.99849333333333,4.333914600000014
01/t012.tif,13,28.13461538461538,10.36979477085943,30.109848296454654,9.194393892472378,383.16262307692307,4.736058799999967
01/t013.tif,13,27.25769230769231,9.693915749793918,29.62467987152593,8.334259113246356,380.31627692307694,4.71037530000001
01/t014.tif,13,28.119999999999997,10.169882005215202,29.947469604370404,8.339392433212959,378.0447538461539,4.544905100000051
01/t015.tif,12,26.726666666666663,6.873185490577044,29.121037458707914,5.061867580865321,376.8479,3.761428599999988
